,datetime,network,receiver,sender,txfee,txfeedenom,txhash,txtype,unixtimestamp,valuereceived,valuereceiveddenom,valuesent,valuesentdenom
0,2017-12-31 00:00:00,Ripple,Unknown,rfyNC9KSZz28NUwrTXhV7tE7cUAavby5ri,0.000020,XRP,9E7F95ED41B5ECFD1BE8E10390C838AAA9A75FCA22C4838947739A70B69DE782,OfferCreate,1514696400,4.3801915,USD,2.257794,XRP
1,2017-12-31 00:00:00,Ripple,Unknown,r3CmdWT7sgBw9FossNwp5g8xdo7iBJwFMM,0.000022,XRP,17EB3AF54CC5F532CE85976B72B841ED91C12D0BFAB39725FDC361974E058D40,OfferCreate,1514696400,2000,CNY,129.403710,XRP
2,2017-12-31 00:00:00,Ripple,,,0.000012,XRP,0F101B51C808728A3A973C0527BF8C305FBF04AEAD04CC00E33DA36DEC9FE015,OfferCancel,1514696400,,,,
3,2017-12-31 00:00:00,Ripple,Unknown,rhXZDebYFALnTyWhFFPQJNqREGa27JPYiA,0.000010,XRP,B4BC0625D1B330171ED360B2BC1FC3A1A91FF3CC970D69EA19FF4F2A49C82FB6,OfferCreate,1514696400,76.9896430024792,BTC,76.7674013756892,BTC
4,2017-12-31 00:00:00,Ripple,,,0.000030,XRP,4F30321179D86FB20DF41BC2E454EAC8749B43FA21696E14FA08DE1D2F7F43B8,OfferCancel,1514696400,,,,
5,2017-12-31 00:00:00,Ripple,Unknown,rhS2H7ETM3wBkFETvYycoUm9FEDYi44Pg4,0.000100,XRP,9F367F3D6E8220689595EDB778D7856A4A3C80CCB8952FBF96C422AA5D7668E4,OfferCreate,1514696400,0.3836505750007042,ETH,137.573657,XRP
6,2017-12-31 00:00:00,Ripple,Unknown,rhS2H7ETM3wBkFETvYycoUm9FEDYi44Pg4,0.000100,XRP,3F74971067DFBC92BBB411352EF7A32AA73EBFA4F07001DF21E2296E762321BB,OfferCreate,1514696400,0.09151961154088883,BTC,602.535814,XRP
7,2017-12-31 00:00:00,Ripple,,,0.015000,XRP,140BF07ABE214261BDE173CDEC8777B34BB2956220965FBF5D14FED0D01204FC,OfferCancel,1514696400,,,,
8,2017-12-31 00:00:00,Ripple,,,0.000012,XRP,458BFC60CE2D23189298076B886D176434D10C114CD3D11B28E2F86019487BCC,OfferCancel,1514696400,,,,
9,2017-12-31 00:00:00,Ripple,,,0.000012,XRP,6B15DB19DE27DF7E2C664EFFF0E010B122F1FC02F064E5AD51732CFA95DF82C0,OfferCancel,1514696400,,,,
10,2017-12-31 00:00:00,Ripple,,,0.000012,XRP,825ED87DF46FFE2715153D2A7978109363366472B9B7199B689594D5ACA3E981,OfferCancel,1514696400,,,,
11,2017-12-31 00:00:00,Ripple,Unknown,rnR2Wnp2ZAtdJVfZSJ2vAjSrQfXwRtkFd6,0.000015,XRP,8CD1467C72AD150805F413D2D1B16791EF4600C0E667A508F10587151B1F5D9F,OfferCreate,1514696400,0.210993364428,BTC,1412.460600,XRP
